year,state,state_po,candidate,party,candidatevotes,totalvotes
1984,Ohio,OH,"Holmes, Larry",workers world,2565,4563235
1984,Oklahoma,OK,"Reagan, Ronald",republican,861530,1255676
1984,Oklahoma,OK,"Mondale, Walter",democrat,385080,1255676
1984,Oklahoma,OK,"Bergland, David",libertarian,9066,1255676
1984,Oregon,OR,"Reagan, Ronald",republican,685700,1226527
1984,Oregon,OR,"Mondale, Walter",democrat,536479,1226527
1984,Oregon,OR,Other,,4348,1226527
1984,Pennsylvania,PA,"Reagan, Ronald",republican,2584323,4844903
1984,Pennsylvania,PA,"Mondale, Walter",democrat,2228131,4844903
1984,Pennsylvania,PA,"Johnson, Sonia",citizens,21628,4844903
1984,Pennsylvania,PA,"Bergland, David",libertarian,6982,4844903
1984,Pennsylvania,PA,"Winn, Edward",workers league,2059,4844903
1984,Pennsylvania,PA,"Hall, Gus",communist party use,1780,4844903
1984,Rhode Island,RI,"Reagan, Ronald",republican,212080,410489
1984,Rhode Island,RI,"Mondale, Walter",democrat,197106,410489
1984,Rhode Island,RI,"Richards, Bob",populist,510,410489
1984,Rhode Island,RI,"Bergland, David",libertarian,277,410489
1984,Rhode Island,RI,"Johnson, Sonia",citizens,240,410489
1984,Rhode Island,RI,"Holmes, Larry",workers world,91,410489
1984,Rhode Island,RI,"Hall, Gus",communist party use,75,410489
1984,Rhode Island,RI,"Mason, Melvin",socialist workers,61,410489
1984,Rhode Island,RI,"Serrette, Dennis",alliance,49,410489
1984,South Carolina,SC,"Reagan, Ronald",republican,615539,968529
1984,South Carolina,SC,"Mondale, Walter",democrat,344459,968529
1984,South Carolina,SC,"Bergland, David",libertarian,4359,968529
1984,South Carolina,SC,"Dennis, Delmar",american,3490,968529
1984,South Carolina,SC,"Serrette, Dennis",alliance,682,968529
1984,South Dakota,SD,"Reagan, Ronald",republican,200267,317867
1984,South Dakota,SD,"Mondale, Walter",democrat,116113,317867
1984,South Dakota,SD,"Serrette, Dennis",alliance,1150,317867
1984,South Dakota,SD,"Mason, Melvin",socialist workers,337,317867
1984,Tennessee,TN,"Reagan, Ronald",republican,990212,1711993
1984,Tennessee,TN,"Mondale, Walter",democrat,711714,1711993
1984,Tennessee,TN,"Bergland, David",libertarian,3072,1711993
1984,Tennessee,TN,"Larouche, Lyndon, Jr.",independent,1852,1711993
1984,Tennessee,TN,"Richards, Bob",populist,1763,1711993
1984,Tennessee,TN,"Hall, Gus",communist party use,1036,1711993
1984,Tennessee,TN,"Johnson, Sonia",citizens,978,1711993
1984,Tennessee,TN,"Mason, Melvin",socialist workers,715,1711993
1984,Tennessee,TN,"Serrette, Dennis",alliance,524,1711993
1984,Tennessee,TN,Other,,127,1711993
1984,Texas,TX,"Reagan, Ronald",republican,3433428,5397571
1984,Texas,TX,"Mondale, Walter",democrat,1949276,5397571
1984,Texas,TX,"Larouche, Lyndon, Jr.",independent,14613,5397571
1984,Texas,TX,Other,,254,5397571
1984,Utah,UT,"Reagan, Ronald",republican,469105,629656
1984,Utah,UT,"Mondale, Walter",democrat,155369,629656
1984,Utah,UT,"Bergland, David",libertarian,2447,629656
1984,Utah,UT,"Dennis, Delmar",american,1345,629656
1984,Utah,UT,"Johnson, Sonia",citizens,844,629656
1984,Utah,UT,"Serrette, Dennis",alliance,220,629656
1984,Utah,UT,"Hall, Gus",communist party use,184,629656
1984,Utah,UT,"Mason, Melvin",socialist workers,142,629656
1984,Vermont,VT,"Reagan, Ronald",republican,135865,234561
1984,Vermont,VT,"Mondale, Walter",democrat,95730,234561
1984,Vermont,VT,"Bergland, David",libertarian,1002,234561
1984,Vermont,VT,Other,,712,234561
1984,Vermont,VT,"Larouche, Lyndon, Jr.",independent,423,234561
1984,Vermont,VT,"Serrette, Dennis",alliance,323,234561
1984,Vermont,VT,"Johnson, Sonia",citizens,264,234561
1984,Vermont,VT,"Mason, Melvin",socialist workers,127,234561
1984,Vermont,VT,"Hall, Gus",communist party use,115,234561
1984,Virginia,VA,"Reagan, Ronald",republican,1337078,2146635
1984,Virginia,VA,"Mondale, Walter",democrat,796250,2146635
1984,Virginia,VA,"Larouche, Lyndon, Jr.",independent,13307,2146635
1984,Washington,WA,"Reagan, Ronald",republican,1051670,1874910
1984,Washington,WA,"Mondale, Walter",democrat,798352,1874910
1984,Washington,WA,"Bergland, David",libertarian,8844,1874910
1984,Washington,WA,"Richards, Bob",populist,5724,1874910
1984,Washington,WA,"Larouche, Lyndon, Jr.",independent,4712,1874910
1984,Washington,WA,"Johnson, Sonia",citizens,1891,1874910
1984,Washington,WA,"Serrette, Dennis",alliance,1654,1874910
1984,Washington,WA,"Hall, Gus",communist party use,814,1874910
1984,Washington,WA,"Holmes, Larry",workers world,641,1874910
1984,Washington,WA,"Mason, Melvin",socialist workers,608,1874910
1984,West Virginia,WV,"Reagan, Ronald",republican,405483,735742
1984,West Virginia,WV,"Mondale, Walter",democrat,328125,735742
1984,West Virginia,WV,"Richards, Bob",populist,996,735742
1984,West Virginia,WV,"Mason, Melvin",socialist workers,645,735742
1984,West Virginia,WV,"Serrette, Dennis",alliance,493,735742
1984,Wisconsin,WI,"Reagan, Ronald",republican,1198584,2211689
1984,Wisconsin,WI,"Mondale, Walter",democrat,995740,2211689
1984,Wisconsin,WI,"Bergland, David",libertarian,4883,2211689
1984,Wisconsin,WI,"Richards, Bob",populist,3864,2211689
1984,Wisconsin,WI,"Larouche, Lyndon, Jr.",independent,3791,2211689
1984,Wisconsin,WI,"Johnson, Sonia",citizens,1456,2211689
1984,Wisconsin,WI,"Serrette, Dennis",alliance,1006,2211689
1984,Wisconsin,WI,Other,,706,2211689
1984,Wisconsin,WI,"Holmes, Larry",workers world,619,2211689
1984,Wisconsin,WI,"Hall, Gus",communist party use,596,2211689
1984,Wisconsin,WI,"Mason, Melvin",socialist workers,444,2211689
1984,Wyoming,WY,"Reagan, Ronald",republican,133241,188968
1984,Wyoming,WY,"Mondale, Walter",democrat,53370,188968
1984,Wyoming,WY,"Bergland, David",libertarian,2357,188968
1988,Alabama,AL,"Bush, George H.W.",republican,815576,1378476
1988,Alabama,AL,"Dukakis, Michael",democrat,549506,1378476
1988,Alabama,AL,"Paul, Ronald """"Ron""""",libertarian,8460,1378476
1988,Alabama,AL,"Winn, Edward",independent,4428,1378476
1988,Alabama,AL,,,506,1378476
1988,Alaska,AK,"Bush, George H.W.",republican,119251,200116
1988,Alaska,AK,"Dukakis, Michael",democrat,72584,200116
1988,Alaska,AK,"Paul, Ronald """"Ron""""",libertarian,5484,200116
1988,Alaska,AK,"Fulani, Lenora",new alliance,1024,200116
1988,Alaska,AK,,,957,200116
1988,Alaska,AK,"Larouche, Lyndon, Jr.",national economic recovery,816,200116
1988,Arizona,AZ,"Bush, George H.W.",republican,702541,1171873
1988,Arizona,AZ,"Dukakis, Michael",democrat,454029,1171873
1988,Arizona,AZ,"Paul, Ronald """"Ron""""",libertarian,13351,1171873
1988,Arizona,AZ,"Fulani, Lenora",new alliance,1662,1171873
1988,Arizona,AZ,,,290,1171873
1988,Arkansas,AR,"Bush, George H.W.",republican,466578,827738
1988,Arkansas,AR,"Dukakis, Michael",democrat,349237,827738
1988,Arkansas,AR,"Dodge, Earl",populist,5146,827738
1988,Arkansas,AR,"Paul, Ronald """"Ron""""",libertarian,3297,827738
1988,Arkansas,AR,"Fulani, Lenora",new alliance,2161,827738
1988,Arkansas,AR,"Dodge, Earl",prohibition,1319,827738
1988,California,CA,"Bush, George H.W.",republican,5054917,9887065
1988,California,CA,"Dukakis, Michael",democrat,4702233,9887065
1988,California,CA,"Paul, Ronald """"Ron""""",libertarian,70105,9887065
1988,California,CA,"Fulani, Lenora",independent,58999,9887065
1988,California,CA,,,811,9887065
1988,Colorado,CO,"Bush, George H.W.",republican,728177,1372394
1988,Colorado,CO,"Dukakis, Michael",democrat,621453,1372394
1988,Colorado,CO,"Paul, Ronald """"Ron""""",libertarian,15482,1372394
1988,Colorado,CO,"Dodge, Earl",prohibition,4604,1372394
1988,Colorado,CO,"Fulani, Lenora",new alliance,2539,1372394
1988,Colorado,CO,,,139,1372394
1988,Connecticut,CT,"Bush, George H.W.",republican,750241,1443394
1988,Connecticut,CT,"Dukakis, Michael",democrat,676584,1443394
1988,Connecticut,CT,"Paul, Ronald """"Ron""""",libertarian,14071,1443394
1988,Connecticut,CT,"Fulani, Lenora",new alliance,2491,1443394
1988,Connecticut,CT,,,7,1443394
1988,Delaware,DE,"Bush, George H.W.",republican,139639,249891
1988,Delaware,DE,"Dukakis, Michael",democrat,108647,249891
1988,Delaware,DE,"Paul, Ronald """"Ron""""",libertarian,1162,249891
1988,Delaware,DE,"Fulani, Lenora",new alliance,443,249891
1988,District of Columbia,DC,"Dukakis, Michael",democrat,159407,192877
1988,District of Columbia,DC,"Bush, George H.W.",republican,27590,192877
1988,District of Columbia,DC,,independent,3064,192877
1988,District of Columbia,DC,,,1553,192877
1988,District of Columbia,DC,"Paul, Ronald """"Ron""""",libertarian,554,192877
1988,District of Columbia,DC,,third world assembly,236,192877
1988,District of Columbia,DC,"Winn, Edward",workers league,208,192877
1988,District of Columbia,DC,"Kenoyer, Willa",socialist,142,192877
1988,District of Columbia,DC,"Warren, James """"Mac""""",socialist workers,123,192877
1988,Florida,FL,"Bush, George H.W.",republican,2618885,4302313
1988,Florida,FL,"Dukakis, Michael",democrat,1656701,4302313
1988,Florida,FL,"Paul, Ronald """"Ron""""",libertarian,19796,4302313
1988,Florida,FL,"Fulani, Lenora",new alliance,6655,4302313
1988,Florida,FL,,,276,4302313
1988,Georgia,GA,"Bush, George H.W.",republican,1081331,1809672
1988,Georgia,GA,"Dukakis, Michael",democrat,714792,1809672
1988,Georgia,GA,"Paul, Ronald """"Ron""""",libertarian,8435,1809672
1988,Georgia,GA,"Fulani, Lenora",new alliance,5099,1809672
1988,Georgia,GA,,,15,1809672
1988,Hawaii,HI,"Dukakis, Michael",democrat,192364,354461
1988,Hawaii,HI,"Bush, George H.W.",republican,158625,354461
1988,Hawaii,HI,"Paul, Ronald """"Ron""""",libertarian,1999,354461
1988,Hawaii,HI,"Fulani, Lenora",no party affiliation,1003,354461
1988,Hawaii,HI,"Larouche, Lyndon, Jr.",national economic recovery,470,354461
1988,Idaho,ID,"Bush, George H.W.",republican,253881,408968
1988,Idaho,ID,"Dukakis, Michael",democrat,147272,408968
1988,Idaho,ID,"Paul, Ronald """"Ron""""",libertarian,5313,408968
1988,Idaho,ID,"Fulani, Lenora",independent,2502,408968
1988,Illinois,IL,"Bush, George H.W.",republican,2310939,4559120
1988,Illinois,IL,"Dukakis, Michael",democrat,2215940,4559120
1988,Illinois,IL,"Paul, Ronald """"Ron""""",libertarian,14944,4559120
1988,Illinois,IL,"Fulani, Lenora",solidarity,10276,4559120
1988,Illinois,IL,"Winn, Edward",independent,7021,4559120
1988,Indiana,IN,"Bush, George H.W.",republican,1297763,2168621
1988,Indiana,IN,"Dukakis, Michael",democrat,860643,2168621
1988,Indiana,IN,"Fulani, Lenora",new alliance,10215,2168621
1988,Iowa,IA,"Dukakis, Michael",democrat,670557,1225614
1988,Iowa,IA,"Bush, George H.W.",republican,545355,1225614
1988,Iowa,IA,"Larouche, Lyndon, Jr.",nominated by petition,3526,1225614
1988,Iowa,IA,"Paul, Ronald """"Ron""""",libertarian,2494,1225614
1988,Iowa,IA,Scattering,,1613,1225614
1988,Iowa,IA,"Duke, David",patriotic party,755,1225614
1988,Iowa,IA,"Fulani, Lenora",new alliance,540,1225614
1988,Iowa,IA,"Kenoyer, Willa",socialist,334,1225614
1988,Iowa,IA,"Winn, Edward",workers league,235,1225614
1988,Iowa,IA,"Warren, James """"Mac""""",socialist workers,205,1225614
1988,Kansas,KS,"Bush, George H.W.",republican,554049,993044
1988,Kansas,KS,"Dukakis, Michael",democrat,422636,993044
1988,Kansas,KS,,independent,16359,993044
1988,Kentucky,KY,"Bush, George H.W.",republican,734281,1322517
1988,Kentucky,KY,"Dukakis, Michael",democrat,580368,1322517
1988,Kentucky,KY,"Duke, David",populist,4494,1322517
1988,Kentucky,KY,"Paul, Ronald """"Ron""""",libertarian,2118,1322517
1988,Kentucky,KY,"Fulani, Lenora",new alliance,1256,1322517
1988,Louisiana,LA,"Bush, George H.W.",republican,883702,1628202
1988,Louisiana,LA,"Dukakis, Michael",democrat,717460,1628202
1988,Louisiana,LA,"Duke, David",populist,18612,1628202
1988,Louisiana,LA,"Paul, Ronald """"Ron""""",libertarian,4115,1628202
1988,Louisiana,LA,"Fulani, Lenora",new alliance,2355,1628202
1988,Louisiana,LA,"Larouche, Lyndon, Jr.",national economic recovery,1958,1628202
1988,Maine,ME,"Bush, George H.W.",republican,307131,555035
1988,Maine,ME,"Dukakis, Michael",democrat,243569,555035
1988,Maine,ME,"Paul, Ronald """"Ron""""",libertarian,2700,555035
1988,Maine,ME,"Fulani, Lenora",new alliance,1405,555035
1988,Maine,ME,,other,230,555035
1988,Maryland,MD,"Bush, George H.W.",republican,876167,1714358
1988,Maryland,MD,"Dukakis, Michael",democrat,826304,1714358
1988,Maryland,MD,"Paul, Ronald """"Ron""""",libertarian,6748,1714358
1988,Maryland,MD,"Fulani, Lenora",new alliance,5115,1714358
1988,Maryland,MD,,,24,1714358
1988,Massachusetts,MA,"Dukakis, Michael",democrat,1401415,2632801
1988,Massachusetts,MA,"Bush, George H.W.",republican,1194635,2632801
1988,Massachusetts,MA,"Paul, Ronald """"Ron""""",libertarian,24251,2632801
1988,Massachusetts,MA,"Fulani, Lenora",new alliance,9561,2632801
1988,Massachusetts,MA,,other,2939,2632801
1988,Michigan,MI,"Bush, George H.W.",republican,1965486,3669163
1988,Michigan,MI,"Dukakis, Michael",democrat,1675783,3669163
1988,Michigan,MI,"Paul, Ronald """"Ron""""",libertarian,18336,3669163
1988,Michigan,MI,,other,7600,3669163
1988,Michigan,MI,"Winn, Edward",workers league,1958,3669163
1988,Minnesota,MN,"Dukakis, Michael",democrat,1109471,2096790
1988,Minnesota,MN,"Bush, George H.W.",republican,962337,2096790
1988,Minnesota,MN,"McCarthy, Eugene """"Gene""""",progressive,5403,2096790
1988,Minnesota,MN,"Paul, Ronald """"Ron""""",libertarian,5109,2096790
1988,Minnesota,MN,,,3614,2096790
1988,Minnesota,MN,"Warren, James """"Mac""""",socialist workers,2155,2096790
1988,Minnesota,MN,"Herer, Jack",grassroots,1949,2096790
1988,Minnesota,MN,"Fulani, Lenora",new alliance,1734,2096790
1988,Minnesota,MN,"Larouche, Lyndon, Jr.",national economic recovery,1702,2096790
1988,Minnesota,MN,"Duke, David",populist,1529,2096790
1988,Minnesota,MN,"Dennis, Delmar",american,1298,2096790
1988,Minnesota,MN,"Winn, Edward",workers league,489,2096790
1988,Mississippi,MS,"Bush, George H.W.",republican,557890,931527
1988,Mississippi,MS,"Dukakis, Michael",democrat,363921,931527
1988,Mississippi,MS,,independent,6387,931527
1988,Mississippi,MS,"Paul, Ronald """"Ron""""",libertarian,3329,931527
1988,Missouri,MO,"Bush, George H.W.",republican,1084953,2093228
1988,Missouri,MO,"Dukakis, Michael",democrat,1001619,2093228
1988,Missouri,MO,"Fulani, Lenora",new alliance,6656,2093228
1988,Montana,MT,"Bush, George H.W.",republican,190412,365674
1988,Montana,MT,"Dukakis, Michael",democrat,168936,365674
1988,Montana,MT,"Paul, Ronald """"Ron""""",libertarian,5047,365674
1988,Montana,MT,"Fulani, Lenora",new alliance,1279,365674
1988,Nebraska,NE,"Bush, George H.W.",republican,397956,661465
1988,Nebraska,NE,"Dukakis, Michael",democrat,259235,661465
1988,Nebraska,NE,"Paul, Ronald """"Ron""""",libertarian,2534,661465
1988,Nebraska,NE,"Fulani, Lenora",new alliance,1740,661465
1988,Nevada,NV,"Bush, George H.W.",republican,206040,343133
1988,Nevada,NV,"Dukakis, Michael",democrat,132738,343133
1988,Nevada,NV,"Paul, Ronald """"Ron""""",libertarian,3520,343133
1988,Nevada,NV,"Fulani, Lenora",new alliance,835,343133
1988,New Hampshire,NH,"Bush, George H.W.",republican,281537,450525
1988,New Hampshire,NH,"Dukakis, Michael",democrat,163696,450525
1988,New Hampshire,NH,"Paul, Ronald """"Ron""""",libertarian,4502,450525
1988,New Hampshire,NH,"Fulani, Lenora",new alliance,790,450525
1988,New Jersey,NJ,"Bush, George H.W.",republican,1743192,3099553
1988,New Jersey,NJ,"Dukakis, Michael",democrat,1320352,3099553
1988,New Jersey,NJ,"Herberg G., Lewin",peace & freedom,9953,3099553
1988,New Jersey,NJ,"Paul, Ronald """"Ron""""",libertarian,8421,3099553
1988,New Jersey,NJ,"Fulani, Lenora",new alliance,5139,3099553
1988,New Jersey,NJ,"McCarthy, Eugene """"Gene""""",consumer,3454,3099553
1988,New Jersey,NJ,"Kenoyer, Willa",socialist,2587,3099553
1988,New Jersey,NJ,"Duke, David",populist,2446,3099553
1988,New Jersey,NJ,"Warren, James """"Mac""""",socialist workers,2298,3099553
1988,New Jersey,NJ,"Holmes, Larry",workers world,1020,3099553
1988,New Jersey,NJ,"Winn, Edward",workers league,691,3099553
1988,New Mexico,NM,"Bush, George H.W.",republican,270341,521387
1988,New Mexico,NM,"Dukakis, Michael",democrat,244497,521387
1988,New Mexico,NM,"Paul, Ronald """"Ron""""",libertarian,3368,521387
1988,New Mexico,NM,"Fulani, Lenora",new alliance,2237,521387
1988,New Mexico,NM,"Warren, James """"Mac""""",socialist workers,344,521387
1988,New Mexico,NM,"Holmes, Larry",workers world,258,521387
1988,New Mexico,NM,"Dodge, Earl",prohibition,249,521387
1988,New Mexico,NM,,write-in,93,521387
1988,New York,NY,"Dukakis, Michael",democrat,3255487,6485683
1988,New York,NY,"Bush, George H.W.",republican,2838414,6485683
1988,New York,NY,"Bush, George H.W.",conservative,243457,6485683
1988,New York,NY,"Dukakis, Michael",liberal party,92395,6485683
1988,New York,NY,"Marra, William A.",right-to-life,20497,6485683
1988,New York,NY,"Fulani, Lenora",new alliance,15845,6485683
1988,New York,NY,"Paul, Ronald """"Ron""""",libertarian,12109,6485683
1988,New York,NY,"Holmes, Larry",workers world,4179,6485683
1988,New York,NY,"Warren, James """"Mac""""",socialist workers,3287,6485683
1988,New York,NY,,other,13,6485683
1988,North Carolina,NC,"Bush, George H.W.",republican,1237258,2134370
1988,North Carolina,NC,"Dukakis, Michael",democrat,890167,2134370
1988,North Carolina,NC,"Fulani, Lenora",new alliance,5682,2134370
1988,North Carolina,NC,"Paul, Ronald """"Ron""""",,1263,2134370
1988,North Dakota,ND,"Bush, George H.W.",republican,166559,297261
1988,North Dakota,ND,"Dukakis, Michael",democrat,127739,297261
1988,North Dakota,ND,"Paul, Ronald """"Ron""""",libertarian,1315,297261
1988,North Dakota,ND,"Larouche, Lyndon, Jr.",national economic recovery,905,297261
1988,North Dakota,ND,"Fulani, Lenora",new alliance,396,297261
1988,North Dakota,ND,"Warren, James """"Mac""""",socialist workers,347,297261
1988,Ohio,OH,"Bush, George H.W.",republican,2416549,4393585
1988,Ohio,OH,"Dukakis, Michael",democrat,1939629,4393585
1988,Ohio,OH,"Fulani, Lenora",new alliance,12017,4393585
1988,Ohio,OH,"Paul, Ronald """"Ron""""",libertarian,11926,4393585
1988,Ohio,OH,,independent,7713,4393585
1988,Ohio,OH,"Winn, Edward",workers league,5401,4393585
1988,Ohio,OH,,,350,4393585
1988,Oklahoma,OK,"Bush, George H.W.",republican,678367,1171036
1988,Oklahoma,OK,"Dukakis, Michael",democrat,483423,1171036
1988,Oklahoma,OK,"Paul, Ronald """"Ron""""",libertarian,6261,1171036
1988,Oklahoma,OK,"Fulani, Lenora",new alliance,2985,1171036
1988,Oregon,OR,"Dukakis, Michael",democrat,616206,1201694
1988,Oregon,OR,"Bush, George H.W.",republican,560126,1201694
1988,Oregon,OR,"Paul, Ronald """"Ron""""",libertarian,14811,1201694
1988,Oregon,OR,"Fulani, Lenora",independent,6487,1201694
1988,Oregon,OR,,other,4064,1201694
1988,Pennsylvania,PA,"Bush, George H.W.",republican,2300087,4536251
1988,Pennsylvania,PA,"Dukakis, Michael",democrat,2194944,4536251
1988,Pennsylvania,PA,"McCarthy, Eugene """"Gene""""",consumer,19158,4536251
1988,Pennsylvania,PA,"Paul, Ronald """"Ron""""",libertarian,12051,4536251
1988,Pennsylvania,PA,"Fulani, Lenora",new alliance,4379,4536251
1988,Pennsylvania,PA,"Duke, David",populist,3444,4536251
1988,Pennsylvania,PA,"Winn, Edward",workers league,2188,4536251
1988,Rhode Island,RI,"Dukakis, Michael",democrat,225123,404622
1988,Rhode Island,RI,"Bush, George H.W.",republican,177761,404622
1988,Rhode Island,RI,"Paul, Ronald """"Ron""""",libertarian,825,404622
1988,Rhode Island,RI,"Fulani, Lenora",new alliance,280,404622
1988,Rhode Island,RI,"Herberg G., Lewin",peace & freedom,195,404622
1988,Rhode Island,RI,"Duke, David",populist,159,404622
1988,Rhode Island,RI,"Warren, James """"Mac""""",socialist workers,130,404622
1988,Rhode Island,RI,"Kenoyer, Willa",socialist,96,404622
1988,Rhode Island,RI,,,53,404622
1988,South Carolina,SC,"Bush, George H.W.",republican,606443,986009
1988,South Carolina,SC,"Dukakis, Michael",democrat,370554,986009
1988,South Carolina,SC,"Paul, Ronald """"Ron""""",libertarian,4935,986009
1988,South Carolina,SC,"Fulani, Lenora",united citizens,4077,986009
1988,South Dakota,SD,"Bush, George H.W.",republican,165415,312991
1988,South Dakota,SD,"Dukakis, Michael",democrat,145560,312991
1988,South Dakota,SD,,independent,2016,312991
1988,Tennessee,TN,"Bush, George H.W.",republican,947233,1636250
1988,Tennessee,TN,"Dukakis, Michael",democrat,679794,1636250
1988,Tennessee,TN,,independent,8938,1636250
1988,Tennessee,TN,,,285,1636250
1988,Texas,TX,"Bush, George H.W.",republican,3036829,5427410
1988,Texas,TX,"Dukakis, Michael",democrat,2352748,5427410
1988,Texas,TX,"Paul, Ronald """"Ron""""",libertarian,30355,5427410
1988,Texas,TX,"Fulani, Lenora",new alliance,7208,5427410
1988,Texas,TX,,,270,5427410
1988,Utah,UT,"Bush, George H.W.",republican,428442,647008
1988,Utah,UT,"Dukakis, Michael",democrat,207343,647008
1988,Utah,UT,"Paul, Ronald """"Ron""""",libertarian,7473,647008
1988,Utah,UT,"Dennis, Delmar",american,2158,647008
1988,Utah,UT,"Fulani, Lenora",new alliance,455,647008
1988,Utah,UT,"Larouche, Lyndon, Jr.",national economic recovery,427,647008
1988,Utah,UT,"Youngkeit, Louie G.",independent,372,647008
1988,Utah,UT,"Warren, James """"Mac""""",socialist workers,209,647008
1988,Utah,UT,"Kenoyer, Willa",socialist,129,647008
1988,Vermont,VT,"Bush, George H.W.",republican,124331,243328
1988,Vermont,VT,"Dukakis, Michael",democrat,115775,243328
1988,Vermont,VT,Scattering,,1134,243328
1988,Vermont,VT,"Paul, Ronald """"Ron""""",libertarian,1000,243328
1988,Vermont,VT,"Larouche, Lyndon, Jr.",independent,275,243328
1988,Vermont,VT,"Fulani, Lenora",new alliance,205,243328
1988,Vermont,VT,"Duke, David",populist,189,243328
1988,Vermont,VT,"Herberg G., Lewin",peace & freedom,164,243328
1988,Vermont,VT,"Kenoyer, Willa",liberty union party,142,243328
1988,Vermont,VT,"Warren, James """"Mac""""",socialist workers,113,243328
1988,Virginia,VA,"Bush, George H.W.",republican,1309162,2191609
1988,Virginia,VA,"Dukakis, Michael",democrat,859799,2191609
1988,Virginia,VA,"Fulani, Lenora",independent,14312,2191609
1988,Virginia,VA,"Paul, Ronald """"Ron""""",libertarian,8336,2191609
1988,Washington,WA,"Dukakis, Michael",democrat,933516,1865253
1988,Washington,WA,"Bush, George H.W.",republican,903835,1865253
1988,Washington,WA,"Paul, Ronald """"Ron""""",libertarian,17240,1865253
1988,Washington,WA,"Larouche, Lyndon, Jr.",independent,4412,1865253
1988,Washington,WA,"Fulani, Lenora",new alliance,3520,1865253
1988,Washington,WA,"Holmes, Larry",workers world,1440,1865253
1988,Washington,WA,"Warren, James """"Mac""""",socialist workers,1290,1865253
1988,West Virginia,WV,"Dukakis, Michael",democrat,341016,653311
1988,West Virginia,WV,"Bush, George H.W.",republican,310065,653311
1988,West Virginia,WV,"Fulani, Lenora",new alliance,2230,653311
1988,Wisconsin,WI,"Dukakis, Michael",democrat,1126794,2191608
1988,Wisconsin,WI,"Bush, George H.W.",republican,1047499,2191608
1988,Wisconsin,WI,,independent,15042,2191608
1988,Wisconsin,WI,Scattering,,2273,2191608
1988,Wyoming,WY,"Bush, George H.W.",republican,106867,176551
1988,Wyoming,WY,"Dukakis, Michael",democrat,67113,176551
1988,Wyoming,WY,"Paul, Ronald """"Ron""""",libertarian,2026,176551
1988,Wyoming,WY,"Fulani, Lenora",new alliance,545,176551
1992,Alabama,AL,"Bush, George H.W.",republican,804283,1688060
1992,Alabama,AL,"Clinton, Bill",democrat,690080,1688060
1992,Alabama,AL,"Perot, Ross",independent,183109,1688060
1992,Alabama,AL,"Marrou, Andre",libertarian,5737,1688060
1992,Alabama,AL,Other,independent,4128,1688060
1992,Alabama,AL,,,723,1688060
1992,Alaska,AK,"Bush, George H.W.",republican,102000,258506
1992,Alaska,AK,"Clinton, Bill",democrat,78294,258506
1992,Alaska,AK,"Perot, Ross",independent,73481,258506
1992,Alaska,AK,"Gritz, James """"Bo""""",america first,1379,258506
1992,Alaska,AK,"Marrou, Andre",libertarian,1378,258506
1992,Alaska,AK,"Larouche, Lyndon, Jr.",independents for economic recovery,469,258506
1992,Alaska,AK,"Hagelin, John",natural law,433,258506
1992,Alaska,AK,"Phillips, Howard",taxpayers party,377,258506
1992,Alaska,AK,,,365,258506
1992,Alaska,AK,"Fulani, Lenora",new alliance,330,258506
1992,Arizona,AZ,"Bush, George H.W.",republican,572086,1486975
1992,Arizona,AZ,"Clinton, Bill",democrat,543050,1486975
1992,Arizona,AZ,"Perot, Ross",independent,353741,1486975
1992,Arizona,AZ,"Gritz, James """"Bo""""",independent,8141,1486975
1992,Arizona,AZ,"Marrou, Andre",libertarian,6759,1486975
1992,Arizona,AZ,"Hagelin, John",natural law,2267,1486975
1992,Arizona,AZ,"Fulani, Lenora",new alliance,923,1486975
1992,Arizona,AZ,,,8,1486975
1992,Arkansas,AR,"Clinton, Bill",democrat,505823,950653
1992,Arkansas,AR,"Bush, George H.W.",republican,337324,950653
1992,Arkansas,AR,"Perot, Ross",independent,99132,950653
1992,Arkansas,AR,Other,independent,8374,950653
1992,California,CA,"Clinton, Bill",democrat,5121325,11131721
1992,California,CA,"Bush, George H.W.",republican,3630574,11131721
1992,California,CA,"Perot, Ross",independent,2296006,11131721
1992,California,CA,"Marrou, Andre",libertarian,48139,11131721
1992,California,CA,"Daniels, Ron",peace & freedom,18597,11131721
1992,California,CA,"Phillips, Howard",american independent party,12711,11131721
1992,California,CA,,,4369,11131721
1992,Colorado,CO,"Clinton, Bill",democrat,629681,1569180
1992,Colorado,CO,"Bush, George H.W.",republican,562850,1569180
1992,Colorado,CO,"Perot, Ross",independent,366010,1569180
1992,Colorado,CO,"Marrou, Andre",libertarian,8669,1569180
1992,Colorado,CO,"Fulani, Lenora",new alliance,1608,1569180
1992,Colorado,CO,"Gritz, James """"Bo""""",democrat/republican,274,1569180
1992,Colorado,CO,"Hagelin, John",natural law,47,1569180
1992,Colorado,CO,Prohibition,prohibition,21,1569180
1992,Colorado,CO,Unaffiliated,unaffiliated,20,1569180
1992,Connecticut,CT,"Clinton, Bill",democrat,682318,1616156
1992,Connecticut,CT,"Bush, George H.W.",republican,578313,1616156
1992,Connecticut,CT,"Perot, Ross",independent,348771,1616156
1992,Connecticut,CT,"Marrou, Andre",libertarian,5391,1616156
1992,Connecticut,CT,"Fulani, Lenora",new alliance,1363,1616156
1992,Delaware,DE,"Clinton, Bill",democrat,126054,289620
